房地产市场的指标是衡量房地产市场运行状况的重要工具，以下是一些常见的房地产指标及其频度：

### 房地产指标名称：

1. **房价指数**：反映不同时期房屋销售价格变动情况的指数。
2. **成交量**：在一定时期内完成的房地产交易数量。
3. **库存量**：市场上待售的房地产数量。
4. **去化周期**：现有库存量需要多长时间才能售完的平均时间。
5. **空置率**：未出租或未被销售的房产占总量的比例。
6. **租金价格指数**：反映租房价格变动情况的指数。
7. **房地产投资额**：在一定时期内投入到房地产市场的资金总额。
8. **土地购置费**：开发商为购买土地支付的费用。
9. **房地产开发投资增速**：房地产开发投资的增长速率。
10. **个人住房贷款**：个人为购买住房所申请的贷款总额。
11. **房地产贷款利率**：用于购买房地产的贷款的利率。

### 房地产指标频度：

1. **房价指数**：通常按月度或季度发布。
2. **成交量**：按月度、季度或年度发布。
3. **库存量**：按月度或季度发布。
4. **去化周期**：按季度或年度发布。
5. **空置率**：通常按季度或年度发布。
6. **租金价格指数**：按月度或季度发布。
7. **房地产投资额**：按月度、季度或年度发布。
8. **土地购置费**：按季度或年度发布。
9. **房地产开发投资增速**：通常按月度、季度或年度发布。
10. **个人住房贷款**：按月度或年度发布。
11. **房地产贷款利率**：根据政策调整，可能不定期变化。

需要注意的是，不同的国家和地区发布这些指标的频度可能不同，此外，统计机构或政府部门可能会根据需要进行调整。
